261;291;261,262,205,204,203,201,291;261,260,259,258,204,203,201,291;261,262,205,204,203,202,201,291;261,260,259,258,204,203,202,201,291
291;262;291,201,203,204,205,262;291,201,202,203,204,205,262
262;291;262,205,204,203,201,291;262,205,204,203,202,201,291
291;263;291,201,203,204,205,263;291,201,202,203,204,205,263
263;291;263,205,204,203,201,291;263,205,204,203,202,201,291
390;350;390,306,308,309,350;390,306,307,308,309,350
350;390;350,309,308,306,390;350,309,308,307,306,390
390;351;390,306,308,309,351;390,306,307,308,309,351
351;390;351,309,308,306,390;351,309,308,307,306,390
390;352;390,306,308,309,351,352;390,306,307,308,309,351,352
352;390;352,351,309,308,306,390;352,351,309,308,307,306,390
390;353;390,306,308,309,351,352,353;390,306,307,308,309,351,352,353;390,306,308,309,310,355,354,353;390,306,307,308,309,310,355,354,353
353;390;353,352,351,309,308,306,390;353,352,351,309,308,307,306,390;353,354,355,310,309,308,306,390;353,354,355,310,309,308,307,306,390
390;354;390,306,308,309,310,355,354;390,306,307,308,309,310,355,354;390,306,308,309,351,352,353,354;390,306,307,308,309,351,352,353,354
354;390;354,355,310,309,308,306,390;354,353,352,351,309,308,306,390;354,355,310,309,308,307,306,390;354,353,352,351,309,308,307,306,390
390;355;390,306,308,309,310,355;390,306,307,308,309,310,355
355;390;355,310,309,308,306,390;355,310,309,308,307,306,390
390;356;390,306,308,309,310,356;390,306,307,308,309,310,356
356;390;356,310,309,308,306,390;356,310,309,308,307,306,390
390;357;390,300,391,301,303,311,305,357;390,300,391,301,302,303,311,305,357;390,300,391,301,303,304,311,305,357;390,300,391,301,302,303,304,311,305,357
357;390;357,305,311,303,301,391,300,390;357,305,311,303,302,301,391,300,390;357,305,311,304,303,301,391,300,390;357,305,311,304,303,302,301,391,300,390
390;358;390,300,391,301,303,311,305,358;390,300,391,301,302,303,311,305,358;390,300,391,301,303,304,311,305,358;390,300,391,301,302,303,304,311,305,358
358;390;358,305,311,303,301,391,300,390;358,305,311,303,302,301,391,300,390;358,305,311,304,303,301,391,300,390;358,305,311,304,303,302,301,391,300,390
